artist_name,album_release_year,album_name,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key_name,mode_name,duration_ms,explicit,artist_genre,artist_popularity,artist_followers
Bruno Mars,2016,24K Magic,24K Magic,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,C#,major,225983,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2016,24K Magic,Chunky,0.571,0.539,5,-4.446,0,0.116,0.0208,0,0.125,0.727,202.103,F,minor,186973,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2016,24K Magic,Perm,0.853,0.871,8,-3.715,1,0.0851,0.0145,6.84e-5,0.198,0.863,124.021,G#,major,210053,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2016,24K Magic,That's What I Like,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,C#,major,206693,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2016,24K Magic,Versace on the Floor,0.578,0.574,2,-6.209,1,0.0454,0.196,0,0.083,0.301,174.152,D,major,261240,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2016,24K Magic,Straight up & Down,0.552,0.733,3,-6.898,0,0.0933,0.0209,0,0.0858,0.643,143.56,D#,minor,198186,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2016,24K Magic,Calling All My Lovelies,0.662,0.705,1,-6.56,0,0.0399,0.0392,2.38e-6,0.105,0.865,159.996,C#,minor,250080,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2016,24K Magic,Finesse,0.741,0.798,5,-5.342,0,0.0718,0.00781,0,0.0232,0.939,104.953,F,minor,191000,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2016,24K Magic,Too Good to Say Goodbye,0.587,0.63,2,-6.054,1,0.0311,0.0389,0,0.35,0.433,76.97,D,major,281826,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Young Girls,0.561,0.749,6,-4.951,0,0.032,0.461,1.82e-6,0.205,0.501,125.986,F#,minor,228720,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Locked out of Heaven,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,F,major,233478,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Gorilla,0.719,0.562,7,-6.608,1,0.0381,0.453,4.5e-6,0.0974,0.622,139.96,G,major,244480,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Treasure,0.872,0.699,5,-5.071,0,0.0349,0.0291,1.21e-4,0.0639,0.934,116.033,F,minor,176093,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Moonshine,0.705,0.784,2,-4.351,1,0.0279,0.211,4.3e-6,0.0813,0.418,104.98,D,major,228573,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,When I Was Your Man,0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,C,major,213826,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Natalie,0.76,0.733,7,-6.704,1,0.0504,0.15,0,0.0647,0.611,111.975,G,major,225026,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Show Me,0.743,0.706,5,-5.728,1,0.0535,0.0461,0,0.204,0.514,77.989,F,major,207560,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Money Make Her Smile,0.754,0.677,0,-6.555,1,0.0709,0.0943,7.39e-5,0.153,0.78,93.022,C,major,203973,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,If I Knew,0.522,0.413,3,-5.86,1,0.0316,0.722,0,0.0854,0.49,175.972,D#,major,132640,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Young Girls,0.561,0.749,6,-4.951,0,0.032,0.461,1.82e-6,0.205,0.501,125.986,F#,minor,228720,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Locked out of Heaven,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,F,major,233478,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Gorilla,0.717,0.544,7,-6.598,1,0.0371,0.445,5.16e-6,0.0973,0.641,139.959,G,major,244493,TRUE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Treasure,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-5,0.324,0.937,116.017,F,minor,178560,TRUE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Moonshine,0.705,0.784,2,-4.351,1,0.0279,0.211,4.3e-6,0.0813,0.418,104.98,D,major,228573,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,When I Was Your Man,0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,C,major,213826,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Natalie,0.76,0.733,7,-6.704,1,0.0504,0.15,0,0.0647,0.611,111.975,G,major,225026,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Show Me,0.743,0.706,5,-5.728,1,0.0535,0.0461,0,0.204,0.514,77.989,F,major,207560,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Money Make Her Smile,0.754,0.677,0,-6.555,1,0.0709,0.0943,7.39e-5,0.153,0.78,93.022,C,major,203973,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,If I Knew,0.522,0.413,3,-5.86,1,0.0316,0.722,0,0.0854,0.49,175.972,D#,major,132640,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Young Girls,0.562,0.748,6,-4.811,0,0.0318,0.458,3.27e-6,0.121,0.56,125.967,F#,minor,228720,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Locked out of Heaven,0.728,0.697,5,-4.125,1,0.0456,0.0556,0,0.282,0.87,143.986,F,major,233653,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Gorilla,0.721,0.547,7,-6.539,1,0.0367,0.469,1.17e-5,0.0969,0.667,139.99,G,major,244493,TRUE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Treasure,0.874,0.687,5,-5.253,0,0.0426,0.034,7.59e-5,0.324,0.92,116.054,F,minor,178560,TRUE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Moonshine,0.706,0.773,2,-4.383,1,0.0276,0.205,1.8e-5,0.0756,0.457,104.987,D,major,228573,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,When I Was Your Man,0.601,0.271,0,-8.688,1,0.0403,0.937,0,0.144,0.411,145.494,C,major,213826,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
Bruno Mars,2012,Unorthodox Jukebox,Natalie,0.761,0.729,7,-6.539,1,0.0503,0.152,0,0.0696,0.667,111.994,G,major,225026,FALSE,"c(""dance pop"", ""pop"", ""post-teen pop"")",93,30032175
